Comment,Description,Designator,Footprint,LibRef,Quantity,LCSC Part #,Shop
,,,,,,,
,2 Pin,BOOT,51022-0200,51022-0200,1,,Aliexpress
S8411-45R,BATTERY HOLDER COIN 12MM SMD,BT1,FP-S8411-45R-MFG,CMP-15817-000007-1,1,,Mouser
100n,CAP_0805,"C1, C2, C3, C4, C5, C6, C14, C15, C16, C17, C18, C22, C24, C26, C27, C28, C29, C31, C32, C36, C39, C40, C42, C44, C46, C48, C54, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C80, C82, C83, C84, C87, C90, C91, C92, C96, C98, C99, C101, C102, C103, C105, C113",CAP_0805,CAP_0805,64,,LCSC
22uF 10V,CAPAE_4.3x4.3h5.4,"C7, C8, C30, C79",CAPAE_4.3x4.3h5.4,CAPAE_4.3x4.3h5.4,4,,LCSC
470p,CAP_0805,"C9, C20, C45, C50",CAP_0805,CAP_0805,4,,LCSC
1uF,CAP_0805,"C10, C11, C12, C21, C47",CAP_0805,CAP_0805,5,,LCSC
10p,CAP_0805,C13,CAP_0805,CAP_0805,1,,LCSC
8.2n,CAP_0805,C19,CAP_0805,CAP_0805,1,,LCSC
10uF 10V,CAPAE_4.3x4.3h5.4,"C23, C37, C38, C41, C43, C81, C89",CAPAE_4.3x4.3h5.4,CAPAE_4.3x4.3h5.4,7,,LCSC
10n,CAP_0805,"C25, C35",CAP_0805,CAP_0805,2,,LCSC
NONE,CAP_0805,C33,CAP_0805,CAP_0805,1,,
2.7n,CAP_0805,C34,CAP_0805,CAP_0805,1,,LCSC
1uF,CAP_1206,"C49, C55",CAP_1206,CAP_1206,2,,LCSC
7.5p,CAP_0805,C51,CAP_0805,CAP_0805,1,,LCSC
680p,CAP_1206,"C52, C53",CAP_1206,CAP_1206,2,,LCSC
EEE1EA220SP,Capacitor Polarised,"C77, C78",EEE1AA101SP,EEE1EA220SP,2,,LCSC
100nF,Ceramic Multilayer Capacitor,"C85, C86",C-0603,C semi,2,,My
10uF,CAP_0805,"C88, C93, C94, C100, C104, C108, C109",CAP_0805,CAP_0805,7,,LCSC
10uF 20V,CAPAE_4.3x4.3h5.4,"C95, C97",CAPAE_4.3x4.3h5.4,CAPAE_4.3x4.3h5.4,2,,LCSC
6pF,CAP_0805,"C106, C107",CAP_0805,CAP_0805,2,,LCSC
22p,CAP_0805,"C110, C111",CAP_0805,CAP_0805,2,,LCSC
1nF,Ceramic Multilayer Capacitor,C112,C-0805,C semi,1,,
RCLAMP0521PATCT,TVS Diode (Uni-directional),D1,RCLAMP0521PATCT,RCLAMP0521PATCT,1,,Mouser
SMAJ5.0A-TR,Diode,"D2, D3",SMBJ36CATR,SMLVT3V3,2,,LCSC
L-C192KFCT,SMD LED Diode,"D4, D6",LED 0603,D LED,2,,
SS34-E3/57T,DIODE SCHOTTKY 40V 3A DO214AB,D5,FP-95402-MFG,CMP-02539-000012-1,1,,LCSC
BAT54C,BAT54C,D7,BAT54C,BAT54C,1,,LCSC
ADC,SMA,J1,31-5431,31-5431,1,,Aliexpress
AFC07-S60FCA-00,,J2,AFC07-S60FCA-00,AFC07-S60FCA-00,1,,LCSC
DF11-12DP-2DSA_24_,Connector,J3,SHDR12W60P200_2X6_1400X500X690P,DF11-12DP-2DSA_24_,1,,
DM3AT-SF-PEJM5,Connector,J4,DM3ATSFPEJM5,DM3AT-SF-PEJM5,1,,LCSC
B5B-PH-K-S_LF__SN_,Connector,J5,SHDR5W50P0X200_1X5_1190X450X600P,B5B-PH-K-S_LF__SN_,1,,LCSC
DAC_OUT,SMA,J6,31-5431,31-5431,1,,Aliexpress
B4B-PH-K-S_LF__SN_,Connector,J7,SHDR4W50P0X200_1X4_990X450X600P,B4B-PH-K-S_LF__SN_,1,,LCSC
,2*5 Pin,"JTAG_FPGA, JTAG_STM",IDC10,IDC10,2,,Aliexpress
BLM21AH102SN1D,"Chip Bead, 1000 Ohm, +/- 25%, 200 mA, -55 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel","L1, L3",INDC2013X105X50NL20T20,CMP-2000-05954-1,2,,Mouser
CBC3225T220MR,SMD Inductors 22uH �20% 0.78A 0.351O 1210,L2,FP-CB3225-IPC_B,CMP-14484-000363-1,1,,Mouser
10uH,"SMD-RF-Inductor WE-LQ, L = 3.30 �H","L4, L6",WE-LQ-L,CMP-0227-00587-1,2,,Mouser
IHLP2525CZER100M01,Inductor,L5,INDPM6965X300N,IHLP2525CZER100M01,1,,LCSC
744045003,"SMD-RF-Inductor WE-LQ, L = 3.30 �H",L7,WE-LQ-L,CMP-0227-00587-1,1,,Mouser
56,RES_0805,"R1, R29",RES_0805,RES_0805,2,,LCSC
10,RES_0603,"R2, R3",RES_0603,RES_0603,2,,LCSC
1.5k,RES_0805,"R4, R26",RES_0805,RES_0805,2,,LCSC
47k,RES_0805,R5,RES_0805,RES_0805,1,,LCSC
5.6k,RES_0805,R6,RES_0805,RES_0805,1,,LCSC
0/NONE,By used crystal,R7,RES_0805,RES_0805,1,,LCSC
82,RES_0805,"R8, R10",RES_0805,RES_0805,2,,LCSC
130,RES_0805,"R9, R11",RES_0805,RES_0805,2,,LCSC
1k,RES_0805,"R12, R13, R14, R32, R33, R43, R44",RES_0805,RES_0805,7,,LCSC
0,RES_0805,"R15, R16, R17",RES_0805,RES_0805,3,,LCSC
24,RES_0805,"R18, R22, R23, R24, R25",RES_0805,RES_0805,5,,LCSC
3.3k,RES_0805,"R19, R20, R21",RES_0805,RES_0805,3,,LCSC
100,RES_0805,"R27, R28",RES_0805,RES_0805,2,,LCSC
22,RES_0805,"R30, R36, R42, R58",RES_0805,RES_0805,4,,LCSC
10k,RES_0805,"R31, R34, R41, R45, R46, R47, R48, R49, R50, R57, R59, R60, R61, R63, R65",RES_0805,RES_0805,15,,LCSC
5.6,RES_1206,"R35, R39",RES_1206,RES_1206,2,,LCSC
330,RES_0805,"R37, R40",RES_0805,RES_0805,2,,LCSC
330,RES_0805,R38,RES_0805,RES_0805,1,,LCSC
1k,Chip Resistor,R51,R-0603,RES semi,1,,LCSC
7.5k,RES_0805,R52,RES_0805,RES_0805,1,,LCSC
39k,RES_0805,R53,RES_0805,RES_0805,1,,LCSC
1k,Chip Resistor,R54,R-0805,RES semi,1,,LCSC
4.7k,Chip Resistor,"R55, R56",R-0603,RES semi,2,,LCSC
1m,RES_0805,R62,RES_0805,RES_0805,1,,LCSC
10k,Chip Resistor,R64,R-0603,RES semi,1,,LCSC
EXB-38V100JV,RES ARRAY 4 RES 10 OHM 1206,RN1,FP-EXB38V-MFG,CMP-05421-000006-1,1,,LCSC
1:4 ADT4-6T,Transformer MABAES0061,T1,TRANSF_ACORE2,TRANSF_ACORE2,1,,Mouser/LCSC
1:1+1,Transformer MABAES0060 ,T2,TRANSF_ACORE2,TRANSF_ACORE2,1,,Digikey
1:1,Transformer ADT1-1+ ,T3,TRANSF_ACORE,TRANSF_ACORE,1,,Mouser
TPS79633DCQR,"Single Output High PSRR LDO, 1 A, Fixed 3.3 V Output, 2.7 to 5.5 V Input, 6-pin SOT-223 (DCQ), -40 to 125 degC, Green (RoHS & no Sb/Br)","U1, U13",DCQ0006A_L,CMP-0395-00327-2,2,,Mouser
LTC2208CUP,LTC2208CUP,U2,LTC2208CUP,LTC2208CUP,1,,Digikey
LTC6400IUD,"Single Channel, Low Noise, Low Distortion Differential ADC Driver for 300 MHz IF, 1800 MHz Typical GBW, 4500 V/us Typical SR, 2.85 to 3.5 V, 16-Pin QFN (UD-16), Industrial, Pb-Free",U3,LT-UD-16_N,CMP-0359-03855-2,1,,Mouser
TPS79333DBVR,"Single Output High PSRR LDO, 200 mA, Fixed 3.3 V Output, 2.7 to 5.5 V Input, 5-pin SOT-23 (DBV), -40 to 85 degC, Green (RoHS & no Sb/Br)","U4, U7",DBV0005A_L,CMP-0394-00364-2,2,,Aliexpress
ADUM4160,Integrated Circuit,U5,SOIC127P1032X265-16N,ADUM4160BRWZ,1,,LCSC
DAC5674,Integrated Circuit,U6,QFP50P900X900X100-49N,DAC5674IPHP,1,,Mouser
TPS79318DBVR,"Single Output High PSRR LDO, 200 mA, Fixed 1.8 V Output, 2.7 to 5.5 V Input, 5-pin SOT-23 (DBV), -40 to 85 degC, Green (RoHS & no Sb/Br)",U8,DBV0005A_L,CMP-0394-00328-2,1,,Mouser
OPA2673,Integrated Circuit,U9,QFN65P400X400X100-17N-D,OPA2673IRGVT,1,,Digikey
25P80,25P80,U10,25P80,25P80,1,,Mouser
EP4CE22E22C8N,EP4CE22E22C8N,U11,QFP144-20-2222A,EP4CE22E22C8N,1,,Aliexpress
ST1S10,ST1S10,U12,ST1S10,ST1S10,1,,Aliexpress
CJ7812,,U14,TO-252-2L,CJ7812,1,,LCSC
LM1117DT-2.5,Integrated Circuit,U15,TO228P991X238-3N,LM1117DT-2.5,1,,LCSC
LM1117DT-1.2,Integrated Circuit,U16,TO228P991X238-3N,LM1117DT-1.8,1,,LCSC
W25Q16,W25Q16,U17,W25Q16,W25Q16,1,,Mouser
STM32H743VIT6-rev.V,STM32H743VIT6,U18,STM32H743VIT6,STM32H743VIT6,1,,Aliexpress
MT25QL128ABA1ESE-0SIT,"Micron Serial NOR Flash Memory, 2.7 to 3.6 V, 128 Mb, -40 to 85 degC, 8-Pin SOP2 (SE), RoHS, Tape and Reel",U19,MICT-SE-8_M,CMP-2000-07468-1,1,,
VG-4513CA-122.8800M-GGCT3,NV7050SA VG-4513CA-122.8800M-GGCT3,XG1,NV7050SA,NV7050SA,1,,Aliexpress
12.288Mhz TCXO,Crystal or Oscillator,XG2,581L200X2ITT,581L200X2ITT,1,,Digikey
ABS25-32.768KHZ-6-T,"Low Frequency Crystal, 32.768 KHz, 6 pF, +/- 20 ppm, -40 to 85 degC, 4-Pin SMD, RoHS, Tape and Reel",Y1,ABRA-ABS25-4_V,CMP-2000-05036-1,1,,Mouser
8MHz,"Resistance Weld Thru-Hole Crystal, 8 MHz, +/-30 ppm, -20 to 70 degC, 2-Pin THD, RoHS, Bulk",Y2,FOX-FOXSLF-2_V,CMP-1749-00004-1,1,,LCSC
